FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,AMOUNT
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,350,STATIONERY AND OFFICE SUPPL,$19590.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,$2866337.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,12,CONTRACT WAGE-PR,$30147.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,15,SCHEDULE SALARY ADJ,$5924.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,20,OVERTIME,$900.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-231764.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,130,POSTAGE,$570.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,140,PROF & TECHNICAL SERVICES,$40000.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,149,SOFTWARE MAINT/LICENSING,$9000.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,150,PUBLICATN & REPRODT-OUT,$761.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,157,RENTAL EQUIPMENT AND SERVICES,$11520.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,160,REPAIR/MAINT PROPERTY,$4600.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,161,MAINT FACILITIES,$7100.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,162,REPAIR/MAINT EQUIPMENT,$18163020.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,181,MOBILE COMM SERVICES,$15315.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,188,VEHICLE TRACKING SERVICE,$10320.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,190,TELEPHONE-CENTREX,$19000.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,197,TELEPHONE-MAINTENANCE,$10050.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,229,TRAN/EXP ALLOWANCE,$450.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,313,CLEANING AND SAN SUPPLY,$1766.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,319,CLOTHING,$1545.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,340,MATERIAL AND SUPPLIES,$702457.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,350,STATIONERY AND OFFICE SUPPL,$4000.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,362,PAINT/PAINTING SUPPLIES,$50000.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2135,2135 - INFRASTRUCTURE MANAGEMENT,370,TOOLS < $ 10.00/UNIT,$2300.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,5,SALARIES AND WAGES - ON PAYROLL,$4639792.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,15,SCHEDULE SALARY ADJ,$18421.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,20,OVERTIME,$14600.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-261043.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,39,STUDENT AS TRAINEES,$22750.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,50,STIPENDS,$98292.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,130,POSTAGE,$10372.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,138,PROF SERV-IT MAINT,$50000.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,139,PROF SERV-IT DEVELOPMENT,$21000.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,140,PROF & TECHNICAL SERVICES,$1170403.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,149,SOFTWARE MAINT/LICENSING,$23751.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,150,PUBLICATN & REPRODT-OUT,$2990.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,152,ADVERTISING,$13645.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,153,PROMOTIONS,$1606.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,157,RENTAL EQUIPMENT AND SERVICES,$57858.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,162,REPAIR/MAINT EQUIPMENT,$82660.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,166,DUES  SUBSC & MEM,$28648.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,169,TECHNICAL MEETING COSTS,$11563.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,178,FREIGHT/EXPENSE CHARGES,$1300.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,181,MOBILE COMM SERVICES,$14270.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,190,TELEPHONE-CENTREX,$27000.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,191,TELEPHONE-RELOCATIONS,$1000.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,197,TELEPHONE-MAINTENANCE,$4200.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,229,TRAN/EXP ALLOWANCE,$5405.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,245,REIMBURSEMENT TRAVELERS,$18227.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,270,LOCAL TRANSPORTATION,$650.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,340,MATERIAL AND SUPPLIES,$28930.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,345,APPARATUS AND INSTRUMENTS,$4414.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,348,BOOKS AND RELATED MTL,$6649.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,350,STATIONERY AND OFFICE SUPPL,$10378.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2145,2145 - PROJECT DEVELOPMENT,9041,PAYMENT SPECIAL ASSESMT,$2000.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,5,SALARIES AND WAGES - ON PAYROLL,$23806921.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,12,CONTRACT WAGE-PR,$390610.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,15,SCHEDULE SALARY ADJ,$7247.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,20,OVERTIME,$300585.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-1166622.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,39,STUDENT AS TRAINEES,$12000.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,130,POSTAGE,$396.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,140,PROF & TECHNICAL SERVICES,$1075900.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,149,SOFTWARE MAINT/LICENSING,$6000.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,154,RENTAL-DATA HARDWARE EQ,$5950.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,157,RENTAL EQUIPMENT AND SERVICES,$276886.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,159,LEASE PURCHASE AGREEMNT,$77075.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,162,REPAIR/MAINT EQUIPMENT,$50541.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,181,MOBILE COMM SERVICES,$19690.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,188,VEHICLE TRACKING SERVICE,$139293.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,189,TELEPHONE NON-CENTREX,$900.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,190,TELEPHONE-CENTREX,$44000.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,196,DATA CIRCUITS,$89300.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,197,TELEPHONE-MAINTENANCE,$6900.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,229,TRAN/EXP ALLOWANCE,$186300.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,319,CLOTHING,$18300.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,340,MATERIAL AND SUPPLIES,$780868.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,345,APPARATUS AND INSTRUMENTS,$35000.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,350,STATIONERY AND OFFICE SUPPL,$32730.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,360,REPAIR PARTS AND MATERIAL,$36735.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,362,PAINT/PAINTING SUPPLIES,$6499.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,363,STRUCTURE STEEL IRON OT,$61000.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,365,ELECTRICAL SUPPLIES,$649000.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,423,COMMUNICATION DEVICES,$1490.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2150,2150 - ELECTRICAL OPERATIONS,440,MACHINERY AND EQUIPMENT,$5223.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,5,SALARIES AND WAGES - ON PAYROLL,$10985133.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,12,CONTRACT WAGE-PR,$199107.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,20,OVERTIME,$101985.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-626869.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,130,POSTAGE,$650.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,140,PROF & TECHNICAL SERVICES,$50367.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,152,ADVERTISING,$700.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,157,RENTAL EQUIPMENT AND SERVICES,$147880.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,159,LEASE PURCHASE AGREEMNT,$1423.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,160,REPAIR/MAINT PROPERTY,$96355.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,162,REPAIR/MAINT EQUIPMENT,$27770.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,169,TECHNICAL MEETING COSTS,$500.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,178,FREIGHT/EXPENSE CHARGES,$650.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,185,WASTE DISPOSAL SERV,$60365.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,188,VEHICLE TRACKING SERVICE,$22770.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,190,TELEPHONE-CENTREX,$56000.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,197,TELEPHONE-MAINTENANCE,$10050.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,229,TRAN/EXP ALLOWANCE,$11000.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,245,REIMBURSEMENT TRAVELERS,$600.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,313,CLEANING AND SAN SUPPLY,$1599.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,319,CLOTHING,$4900.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,340,MATERIAL AND SUPPLIES,$392950.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,350,STATIONERY AND OFFICE SUPPL,$3371.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,365,ELECTRICAL SUPPLIES,$29500.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2155,2155 - IN-HOUSE CONSTRUCTION,440,MACHINERY AND EQUIPMENT,$20325.00
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,5,SALARIES AND WAGES - ON PAYROLL,$4838597.00
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,15,SCHEDULE SALARY ADJ,$11555.00
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,20,OVERTIME,$30000.00
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-148022.00
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,39,STUDENT AS TRAINEES,$10000.00
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,126,OFFICE CONVENIENCES,$1000.00
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,130,POSTAGE,$4323.00
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,140,PROF & TECHNICAL SERVICES,$288836.00
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,144,ENGINEERING AND ARCH,$676861.00
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,148,TESTING AND INSPECTING,$4063.00
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,149,SOFTWARE MAINT/LICENSING,$36400.00
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,150,PUBLICATN & REPRODT-OUT,$11830.00
LOCAL,300,VEHICLE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2125,2125 - ENGINEERING,152,ADVERTISING,$1547.00
